Feature,Gain,Cover,Frequency
tsi,0.5140163812608918,0.24421839826880112,0.18029739776951673
short_name,0.38078948388521344,0.0487554456575001,0.12639405204460966
index.num,0.023857817256783195,0.1487891476729626,0.1691449814126394
temperature,0.020573358560944655,0.08753026249529829,0.09107806691449814
yday,0.016596249875472483,0.08105643465572668,0.09107806691449814
humidity,0.015374528883259688,0.04301717093309631,0.06133828996282528
hour,0.0067656589915925484,0.02236635264075914,0.027881040892193308
day,0.005413326928390748,0.03988791561296459,0.03903345724907063
winddirection,0.004195999777822727,0.03803499699361538,0.040892193308550186
hour12,0.0036728900034495725,0.010504569188414801,0.01858736059479554
weedspeed,0.0033993964819686506,0.06852421721166148,0.04925650557620818
qday,0.0023677757932890277,0.07375170325178985,0.04460966542750929
pressure,0.00175455320762195,0.05865865756046944,0.03717472118959108
wday,7.268436146157562e-4,0.02410683512620444,0.01486988847583643
quarter,2.4026798284778543e-4,9.591113862965669e-5,0.0027881040892193307
diff,1.3191911004646105e-4,0.004594359223758021,0.0027881040892193307
month,1.0897316618604369e-4,2.651505010440237e-4,9.293680297397769e-4
minute,1.4575219603453474e-5,0.0058424718673040915,0.0018587360594795538
