short_name,yhat,t
1,4.718407714077602,2016-04-01T07:30:00Z
1,4.643471463997334,2016-04-01T07:45:00Z
1,4.571574323861437,2016-04-01T08:00:00Z
1,4.457432707470045,2016-04-01T08:15:00Z
1,4.392068038521317,2016-04-01T08:30:00Z
1,4.320421377658556,2016-04-01T08:45:00Z
1,4.256500906709689,2016-04-01T09:00:00Z
1,4.203035900832315,2016-04-01T09:15:00Z
1,4.157307057891287,2016-04-01T09:30:00Z
1,4.127029847222886,2016-04-01T09:45:00Z
1,4.066066671406342,2016-04-01T10:00:00Z
1,4.064277426903665,2016-04-01T10:15:00Z
1,4.065160861828311,2016-04-01T10:30:00Z
1,4.081036581992803,2016-04-01T10:45:00Z
1,4.112740463486567,2016-04-01T11:00:00Z
1,4.155502270973985,2016-04-01T11:15:00Z
1,4.21488090483715,2016-04-01T11:30:00Z
1,4.242531696560498,2016-04-01T11:45:00Z
1,4.32611386645678,2016-04-01T12:00:00Z
1,4.406989013280447,2016-04-01T12:15:00Z
1,4.495458943560671,2016-04-01T12:30:00Z
1,4.590514083889509,2016-04-01T12:45:00Z
1,4.685759830937334,2016-04-01T13:00:00Z
1,4.7853949288953626,2016-04-01T13:15:00Z
1,4.840015108765582,2016-04-01T13:30:00Z
1,4.936549100398085,2016-04-01T13:45:00Z
1,5.015977093755567,2016-04-01T14:00:00Z
1,5.0885793967885835,2016-04-01T14:15:00Z
1,5.153686221354841,2016-04-01T14:30:00Z
1,5.205595897864154,2016-04-01T14:45:00Z
1,5.24953581384303,2016-04-01T15:00:00Z
1,5.237439770501306,2016-04-01T15:15:00Z
1,5.25784956951351,2016-04-01T15:30:00Z
1,5.2535918301462425,2016-04-01T15:45:00Z
1,5.236978904581027,2016-04-01T16:00:00Z
1,5.20950610910369,2016-04-01T16:15:00Z
1,5.167713988178785,2016-04-01T16:30:00Z
1,5.119091413758069,2016-04-01T16:45:00Z
1,5.017794770055484,2016-04-01T17:00:00Z
1,4.9544925980518695,2016-04-01T17:15:00Z
1,4.87398822454435,2016-04-01T17:30:00Z
1,4.790370688819778,2016-04-01T17:45:00Z
1,4.706667510568125,2016-04-01T18:00:00Z
1,4.620669186341983,2016-04-01T18:15:00Z
1,4.540802199595991,2016-04-01T18:30:00Z
1,4.421826563037315,2016-04-01T18:45:00Z
1,4.354667801341305,2016-04-01T19:00:00Z
1,4.284036184280966,2016-04-02T07:30:00Z
1,4.223583553169235,2016-04-02T07:45:00Z
1,4.1755710590083375,2016-04-02T08:00:00Z
1,4.13671722688723,2016-04-02T08:15:00Z
1,4.114102425806176,2016-04-02T08:30:00Z
1,4.060904844646332,2016-04-02T08:45:00Z
1,4.066276778958329,2016-04-02T09:00:00Z
1,4.073012781784047,2016-04-02T09:15:00Z
1,4.092758647155028,2016-04-02T09:30:00Z
1,4.125733092167692,2016-04-02T09:45:00Z
1,4.166630062598823,2016-04-02T10:00:00Z
1,4.220576256546771,2016-04-02T10:15:00Z
1,4.238917528579729,2016-04-02T10:30:00Z
1,4.309141627293953,2016-04-02T10:45:00Z
1,4.372587591467592,2016-04-02T11:00:00Z
1,4.439689702712128,2016-04-02T11:15:00Z
1,4.509726975899376,2016-04-02T11:30:00Z
1,4.576745437151963,2016-04-02T11:45:00Z
1,4.645527335384049,2016-04-02T12:00:00Z
1,4.6673807386486335,2016-04-02T12:15:00Z
1,4.730056998026537,2016-04-02T12:30:00Z
1,4.77544667197569,2016-04-02T12:45:00Z
1,4.814802304748876,2016-04-02T13:00:00Z
1,4.848459747445336,2016-04-02T13:15:00Z
1,4.871726168051335,2016-04-02T13:30:00Z
1,4.890809954711201,2016-04-02T13:45:00Z
1,4.858567151459416,2016-04-02T14:00:00Z
1,4.86437319137754,2016-04-02T14:15:00Z
1,4.851771858726624,2016-04-02T14:30:00Z
1,4.833651229540037,2016-04-02T14:45:00Z
1,4.811919613061414,2016-04-02T15:00:00Z
1,4.78335091384537,2016-04-02T15:15:00Z
1,4.75547579565556,2016-04-02T15:30:00Z
1,4.682294333675625,2016-04-02T15:45:00Z
1,4.654119808688151,2016-04-02T16:00:00Z
1,4.615206280816716,2016-04-02T16:15:00Z
1,4.578910197210522,2016-04-02T16:30:00Z
1,4.547359347381001,2016-04-02T16:45:00Z
1,4.517298657719583,2016-04-02T17:00:00Z
1,4.495989058920601,2016-04-02T17:15:00Z
1,4.4369347532130385,2016-04-02T17:30:00Z
1,4.4297479763867464,2016-04-02T17:45:00Z
1,4.417803153367336,2016-04-02T18:00:00Z
1,4.413429806772019,2016-04-02T18:15:00Z
1,4.417616509553287,2016-04-02T18:30:00Z
1,4.425894255008199,2016-04-02T18:45:00Z
1,4.444274298509114,2016-04-03T07:15:00Z
1,4.425014593432357,2016-04-03T07:30:00Z
1,4.456522723252434,2016-04-03T07:45:00Z
1,4.481046082733824,2016-04-03T08:00:00Z
1,4.5098976030940605,2016-04-03T08:15:00Z
1,4.543188360251632,2016-04-03T08:30:00Z
1,4.5757346276569555,2016-04-03T08:45:00Z
1,4.613013779670141,2016-04-03T09:00:00Z
1,4.606942700993428,2016-04-03T09:15:00Z
1,4.645786330969897,2016-04-03T09:30:00Z
1,4.671847022748426,2016-04-03T09:45:00Z
1,4.696683139747118,2016-04-03T10:00:00Z
1,4.7208285507359395,2016-04-03T10:15:00Z
1,4.739681090163375,2016-04-03T10:30:00Z
1,4.7594350604929145,2016-04-03T10:45:00Z
1,4.732832246347064,2016-04-03T11:00:00Z
1,4.749040000612032,2016-04-03T11:15:00Z
1,4.751308101032713,2016-04-03T11:30:00Z
1,4.752153873090204,2016-04-03T11:45:00Z
1,4.753048334834527,2016-04-03T12:00:00Z
1,4.750272511308393,2016-04-03T12:15:00Z
1,4.750820029311005,2016-04-03T12:30:00Z
1,4.708121417138768,2016-04-03T12:45:00Z
1,4.711899515672405,2016-04-03T13:00:00Z
1,4.7058084109202785,2016-04-03T13:15:00Z
1,4.7026059390410895,2016-04-03T13:30:00Z
1,4.703832901588022,2016-04-03T13:45:00Z
1,4.705668336179283,2016-04-03T14:00:00Z
1,4.7148369607867995,2016-04-03T14:15:00Z
1,4.684344033952819,2016-04-03T14:30:00Z
1,4.703346671415253,2016-04-03T14:45:00Z
1,4.714813491747361,2016-04-03T15:00:00Z
1,4.7307219501585225,2016-04-03T15:15:00Z
1,4.751765674001394,2016-04-03T15:30:00Z
1,4.773240214808146,2016-04-03T15:45:00Z
1,4.80098232792755,2016-04-03T16:00:00Z
1,4.787136970041589,2016-04-03T16:15:00Z
1,4.8200599913223225,2016-04-03T16:30:00Z
1,4.84200735307045,2016-04-03T16:45:00Z
1,4.864359243104163,2016-04-03T17:00:00Z
1,4.887350501789738,2016-04-03T17:15:00Z
1,4.905974987738537,2016-04-03T17:30:00Z
1,4.925938348488837,2016-04-03T17:45:00Z
1,4.899432901553653,2016-04-03T18:00:00Z
1,4.91504229451615,2016-04-03T18:15:00Z
1,4.915426654171472,2016-04-03T18:30:00Z
1,4.912536668108687,2016-04-03T18:45:00Z
1,4.907328273446768,2016-04-03T19:00:00Z
1,4.8956460271355065,2016-04-04T07:45:00Z
1,4.884150239205008,2016-04-04T08:00:00Z
1,4.826062342914162,2016-04-04T08:15:00Z
1,4.811037068536893,2016-04-04T08:30:00Z
1,4.782813131253021,2016-04-04T08:45:00Z
1,4.754391949014449,2016-04-04T09:00:00Z
1,4.727717176812809,2016-04-04T09:15:00Z
1,4.6995242485595945,2016-04-04T09:30:00Z
1,4.677236095324285,2016-04-04T09:45:00Z
1,4.614680538004578,2016-04-04T10:00:00Z
1,4.601938849951614,2016-04-04T10:15:00Z
1,4.582978004099995,2016-04-04T10:30:00Z
1,4.5708167740828305,2016-04-04T10:45:00Z
1,4.567198957560615,2016-04-04T11:00:00Z
1,4.568443206704082,2016-04-04T11:15:00Z
1,4.581345729575878,2016-04-04T11:30:00Z
1,4.558911252048272,2016-04-04T11:45:00Z
1,4.590221425330125,2016-04-04T12:00:00Z
1,4.61809268872457,2016-04-04T12:15:00Z
1,4.654273071162242,2016-04-04T12:30:00Z
1,4.699150351804217,2016-04-04T12:45:00Z
1,4.747640078745773,2016-04-04T13:00:00Z
1,4.805128614040635,2016-04-04T13:15:00Z
1,4.823245421366112,2016-04-04T13:30:00Z
1,4.889772564713358,2016-04-04T13:45:00Z
1,4.946342203600095,2016-04-04T14:00:00Z
1,5.003670373240226,2016-04-04T14:15:00Z
1,5.061298339692389,2016-04-04T14:30:00Z
1,5.113508997766031,2016-04-04T14:45:00Z
1,5.165292579127657,2016-04-04T15:00:00Z
1,5.168135144470253,2016-04-04T15:15:00Z
1,5.209937267315979,2016-04-04T15:30:00Z
1,5.232713333910821,2016-04-04T15:45:00Z
1,5.247819598739576,2016-04-04T16:00:00Z
1,5.255682355086506,2016-04-04T16:15:00Z
1,5.251693975938562,2016-04-04T16:30:00Z
1,5.2421515916769685,2016-04-04T16:45:00Z
1,5.180012576044378,2016-04-04T17:00:00Z
1,5.154775125410734,2016-04-04T17:15:00Z
1,5.1101353889162056,2016-04-04T17:30:00Z
1,5.059170448915961,2016-04-04T17:45:00Z
1,5.004019765088369,2016-04-04T18:00:00Z
1,4.94173414975125,2016-04-04T18:15:00Z
1,4.880168373817118,2016-04-04T18:30:00Z
1,4.773692890134322,2016-04-04T18:45:00Z
1,4.713034218679825,2016-04-05T08:00:00Z
1,4.642896618062494,2016-04-05T08:15:00Z
1,4.577115382892984,2016-04-05T08:30:00Z
1,4.518315263023513,2016-04-05T08:45:00Z
1,4.463743771061116,2016-04-05T09:00:00Z
1,4.421155971540005,2016-04-05T09:15:00Z
1,4.344526512273146,2016-04-05T09:30:00Z
1,4.323898486940633,2016-04-05T09:45:00Z
1,4.303021566380787,2016-04-05T10:00:00Z
1,4.294529323822473,2016-04-05T10:15:00Z
1,4.299628619235088,2016-04-05T10:30:00Z
1,4.313969979001299,2016-04-05T10:45:00Z
1,4.343574557610914,2016-04-05T11:00:00Z
1,4.34059228680935,2016-04-05T11:15:00Z
1,4.3931995301837645,2016-04-05T11:30:00Z
1,4.443287329471762,2016-04-05T11:45:00Z
