Feature,Gain,Cover,Frequency
short_name,0.5502782734745633,0.24912442663419604,0.10120481927710843
tsi,0.31790350623730873,0.280238927060719,0.2
temperature,0.02467930926486928,0.05078363961927657,0.07228915662650602
index.num,0.021068793376611317,0.06251574588459927,0.12289156626506025
humidity,0.01875050830336317,0.06366165267727925,0.0746987951807229
yday,0.017537191097403072,0.06367053215036778,0.10602409638554217
hour,0.010551099870350477,0.03275633173889629,0.033734939759036145
hour12,0.009514760638040345,0.02064983608628337,0.043373493975903614
weedspeed,0.006062185078921356,0.03823239539596456,0.04096385542168675
day,0.005822358638374557,0.03396626753071343,0.05060240963855422
winddirection,0.0049601781031743,0.03158416867262223,0.04578313253012048
qday,0.00495765858282782,0.04017199824699256,0.04578313253012048
pressure,0.004831155042303873,0.026495669612478893,0.03855421686746988
wday,0.0023567375052757295,0.0038101355388046793,0.016867469879518072
mweek,7.262847866126445e-4,0.002338273150806082,0.007228915662650603
