Feature,Gain,Cover,Frequency
short_name,0.5416625946835251,0.44198946868979094,0.23076923076923078
tsi,0.3727880712320553,0.32711959416631065,0.3626373626373626
temperature,0.024515540147093565,0.023904298621413182,0.07692307692307693
humidity,0.015213345560738107,0.044561929660619844,0.06593406593406594
hour,0.012508933561907685,0.022058120571331292,0.04395604395604396
yday,0.009520482832310103,0.024936372690223644,0.07692307692307693
hour12,0.00937030092677075,0.06010979009511537,0.054945054945054944
minute,0.006315905903442082,0.043977227218940096,0.03296703296703297
index.num,0.005278636423259322,0.004505033353634315,0.03296703296703297
qday,0.0028261887288980703,0.006838164932620684,0.02197802197802198
