Feature,Gain,Cover,Frequency
short_name,0.5418766918579989,0.48229400637003655,0.30666666666666664
tsi_3,0.1718227701500281,0.1250369050425697,0.12666666666666668
tsi,0.10195359075987818,0.12229303425078808,0.13333333333333333
tsi_15,0.0741557475014502,0.05843510391768813,0.08666666666666667
hour_00,0.03682460883117786,0.05938137857595834,0.08666666666666667
temperature_00,0.018390561140346824,0.016865830241893778,0.04
humidity_3,0.013829111804696176,0.016768799228241576,0.03333333333333333
tsi_00,0.006852944765777256,0.008569597919936516,0.013333333333333334
hour,0.005852978341870012,0.005308830305827976,0.02
hour_15,0.005006238517187663,0.019670090119403665,0.02666666666666667
temperature_15,0.0048366094747276525,0.020646835296452115,0.02666666666666667
humidity_15,0.0036318656390502742,0.021281717833663817,0.013333333333333334
index.num,0.0033636884564096944,0.003628738481371333,0.02
index.num_15,0.0032379526132870692,0.013704395140990778,0.02
humidity,0.0015764470975735668,0.001856739149223207,0.006666666666666667
humidity_00,0.0015116807943265937,0.0028711525171832113,0.006666666666666667
hour12,0.0012053279891451796,0.001838972225806983,0.006666666666666667
qday,0.001154269290950471,0.002906865579462156,0.006666666666666667
hour12_15,0.0011277182966813464,0.0105799405222121,0.006666666666666667
yday_00,0.0010821166818816574,0.0026115354714784586,0.006666666666666667
mweek_00,7.070799955553216e-4,0.003449531809811491,0.006666666666666667
