short_name,year(t),quarter(t),avg,sd,skew
train_1.csv,2016,2,2.253409649193087,2.972352661426813,2.972352661426813
train_1.csv,2016,3,1.8692571973505434,2.55450456849034,2.55450456849034
train_1.csv,2016,4,1.908402993758582,2.8727987600826257,2.8727987600826257
train_1.csv,2017,1,2.1294425183879686,3.1149814977085746,3.1149814977085746
train_1.csv,2017,2,2.1903012289280808,2.9597552103336593,2.9597552103336593
train_1.csv,2017,3,2.1283386431333,2.9064711826983567,2.9064711826983567
train_1.csv,2017,4,2.0530917895858707,3.1291856001194196,3.1291856001194196
train_1.csv,2018,1,2.223321609490741,3.247296447726909,3.247296447726909
train_1.csv,2018,2,2.3223865338659255,3.249605342545731,3.249605342545731
train_2.csv,2017,1,1.9745171465527331,2.8459983490158125,2.8459983490158125
train_2.csv,2017,2,2.135629464512195,2.888613592388097,2.888613592388097
train_2.csv,2017,3,1.5974779755462307,2.1886546766967157,2.1886546766967157
train_2.csv,2017,4,1.9306862944535073,2.912653760245201,2.912653760245201
train_2.csv,2018,1,2.031473058564815,2.973181181286664,2.973181181286664
train_2.csv,2018,2,2.690882773185134,3.286417253523385,3.286417253523385
train_3.csv,2017,3,7.4092393425342316,10.963281538856894,10.963281538856894
train_3.csv,2017,4,6.100331066078791,10.22563882434937,10.22563882434937
train_3.csv,2018,1,6.567150515209489,11.026282465602435,11.026282465602435
train_3.csv,2018,2,8.141603249606394,11.512287586410377,11.512287586410377
train_3.csv,2018,3,7.430571544537815,10.876811201310565,10.876811201310565
train_4.csv,2017,1,10.438252034757168,15.005528644550429,15.005528644550429
train_4.csv,2017,2,10.110715562063037,13.715688387359501,13.715688387359501
train_4.csv,2017,3,9.814124053357736,13.86976772207423,13.86976772207423
train_4.csv,2017,4,10.189062693847939,15.490765591300466,15.490765591300466
train_4.csv,2018,1,11.227954362889223,16.20188904990665,16.20188904990665
train_4.csv,2018,2,12.163901496408046,16.54963551070248,16.54963551070248
