iter,train_rmse,valid_rmse,eta,max_depth,min_child_weight,gamma,subsample,colsample_bytree,eval_metric,objective,seed,nfold,nthread,silent
90,3.128579,3.157994,0.3,8,37,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
97,3.090898,3.132007,0.3,10,37,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
104,3.06867,3.113085,0.3,12,37,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
68,3.185514,3.206594,0.3,8,40,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
141,3.065063,3.09977,0.3,10,40,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
108,3.061122,3.109011,0.3,12,40,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
165,3.114849,3.149462,0.3,8,43,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
148,3.060292,3.113793,0.3,10,43,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
94,3.063881,3.110807,0.3,12,43,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
177,3.150728,3.162919,0.3,8,37,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
97,3.165481,3.193113,0.3,10,37,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
100,3.10853,3.15322,0.3,12,37,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
128,3.190603,3.199159,0.3,8,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
54,3.172702,3.179292,0.3,10,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
166,3.110462,3.124466,0.3,12,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
87,3.211489,3.226624,0.3,8,43,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
143,3.106074,3.14634,0.3,10,43,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
182,3.0999,3.138569,0.3,12,43,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
171,3.194278,3.196596,0.3,8,37,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
72,3.224736,3.2349,0.3,10,37,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
177,3.146993,3.149934,0.3,12,37,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
86,3.222676,3.218646,0.3,8,40,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
93,3.205377,3.198249,0.3,10,40,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
82,3.176289,3.181514,0.3,12,40,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
65,3.241825,3.236519,0.3,8,43,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
122,3.206579,3.200909,0.3,10,43,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
116,3.186635,3.18563,0.3,12,43,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
