Feature,Gain,Cover,Frequency
tsi,0.5181436121853633,0.3375764078780259,0.16401273885350318
short_name,0.3811606545085358,0.0846303282457447,0.10509554140127389
temperature,0.019335273557567683,0.07400377091275416,0.08121019108280254
index.num,0.017928910092492846,0.08585126509358337,0.13853503184713375
yday,0.014741676877437987,0.07375682608958035,0.10509554140127389
humidity,0.013302051805624961,0.056925612235108565,0.08121019108280254
day,0.007056605547481905,0.025863460933662524,0.06050955414012739
qday,0.006420179801615238,0.030810799482344053,0.05732484076433121
hour,0.005297527485288558,0.03142114496015341,0.025477707006369428
hour12,0.0049445479886994145,0.017441221157177774,0.028662420382165606
winddirection,0.0039591516511479465,0.023732616656214647,0.03821656050955414
pressure,0.00393550917887614,0.06417483042087281,0.04936305732484077
weedspeed,0.0017606489769167023,0.04816507741977825,0.030254777070063694
wday,0.0011036403400832093,0.016642272986563945,0.014331210191082803
mweek,6.167221073537867e-4,0.016911683026345704,0.011146496815286623
week.iso,1.33381889425636e-4,0.00579342523748689,0.004777070063694267
diff,1.32214308788824e-4,0.002248851640070906,0.0031847133757961785
month,2.7691697300005463e-5,0.004050405624531973,0.0015923566878980893
